
			

			Year,Population
		2000,"1,900,000"
		2010,"3,183,000"
		2015,"3,982,000"
		2019,"4,606,000"
		
		Note: Based on mixed-race and mixed-group populations, regardless of Hispanic origin. See methodology for more detail.
		Source: 2000 and 2010 population estimates from U.S. Census Bureau, "The Asian Population: 2010" Census Brief, Table 6.
		PEW RESEARCH CENTER
